arxiv_id,title,primary_category,used_num_times
2108.01944v1,Subnucleon fluctuations in coherent and incoherent ultra-peripheral AA collisions at LHC and RHIC with the Sartre event generator,hep-ph,5
2108.02070v2,JAM small-$x$ helicity phenomenology,hep-ph,5
2108.02871v1,Threshold Upsilon-meson Photoproduction at EIC and EicC,hep-ph,5
2108.03426v3,Factorization in hard exclusive processes. Computation of one-loop corrections to the diphoton photoproduction on proton,hep-ph,5
2108.04866v1,Sivers asymmetry in inelastic $J/ψ$ leptoproduction at the EIC,hep-ph,5
2108.05383v2,Transverse Lambda production at the future Electron-Ion Collider,hep-ph,5
2108.07257v1,Resummation of the Sivers asymmetry in heavy flavor dijet production at the Electron-Ion Collider,hep-ph,5
2108.07591v2,Physics Opportunities with Meson Beams for EIC,nucl-ex,5
2108.07740v3,Longitudinal and transverse polarizations of $Λ$ hyperon in unpolarized SIDIS and $e^+e^-$ annihilation,hep-ph,5
2108.08254v1,Mining for Gluon Saturation at Colliders,hep-ph,5
2108.08314v1,Deep-inelastic electron-deuteron scattering with spectator nucleon tagging at the electron-ion collider. Extracting free nucleon structure,hep-ph,5
2108.13028v1,Production of the $T^{+}_{cc}$ state in the $γp\to{}D^{+}\bar{T}^{-}_{cc}Λ_c^{+}$ reaction,hep-ph,5
2109.05440v1,The $g_T(x)$ contribution to single spin asymmetries in SIDIS,hep-ph,5
2109.09509v1,Measuring Recoiling Nucleons from the Nucleus with the Electron Ion Collider,physics.ins-det,5
2109.10373v2,Higher-Order Kinematical Effects in Deeply Virtual Compton Scattering,hep-ph,5
2109.15318v2,Probing hadronization with flavor correlations of leading particles in jets,hep-ph,5
2110.00048v2,Collinear factorization of diphoton photoproduction at next to leading order,hep-ph,5
2110.04489v1,Probing gluon helicity with heavy flavor at the EIC,hep-ex,5
2110.05505v2,Reconstructing the Kinematics of Deep Inelastic Scattering with Deep Learning,hep-ex,5
2110.10268v1,Kinematic distributions of the $η_c$ leptoproduction in association with light hadrons,hep-ph,5
2111.03182v1,Forward silicon vertex/tracking detector design and R$\&$D for the future Electron-Ion Collider,physics.ins-det,5
2111.03703v2,Transverse momentum dependent distributions in dijet and heavy hadron pair production at EIC,hep-ph,5
2112.00608v1,Measurements of lepton-jet azimuthal decorrelation and 1-jetttiness event shape at high $Q^2$ in deep inelastic scattering (DIS) with the H1 experiment at HERA,nucl-ex,5
2112.02477v2,Searching for the axion-like particle at the EIC,hep-ph,5
2112.03042v1,High voltage DC gun for high intensity polarized electron source,physics.acc-ph,5
2112.04513v3,Lepton-Flavor-Violating ALPs at the Electron-Ion Collider: A Golden Opportunity,hep-ph,5
2112.06839v2,Diffractive longitudinal structure function at the Electron Ion Collider,hep-ph,5
2112.07607v3,Different forms of first order spin-orbit motion and their utility in spin matching in electron storage rings,physics.acc-ph,5
2112.07747v2,Jet Charge: A new tool to probe the anomalous $Zb\bar{b}$ couplings at the EIC,hep-ph,5
2112.08223v2,Dijet Production in Neutral Current and Charged Current Polarized Deep Inelastic Scattering,hep-ph,5
2112.10534v1,LGAD Detector Concept for TOPSiDE Project,physics.ins-det,5
2201.04582v2,Spin Asymmetries in Electron-jet Production at the EIC,hep-ph,5
2201.10499v1,Exclusive processes in $ep$ collisions at the EIC and LHeC: A closer look on the predictions of saturation models,hep-ph,5
2201.11635v2,Probing the $Zb\bar{b}$ anomalous couplings via exclusive $Z$ boson decay,hep-ph,5
2202.04223v1,Longitudinal structure function $F_L$ at low $Q^2$ and low $x$ with model for higher twist: an update,hep-ph,5
2202.05981v2,Scaling properties of exclusive vector meson production cross section from gluon saturation,nucl-th,5
2202.06457v1,Developing high-performance DIRC detector for the Future Electron Ion Collider Experiment,physics.ins-det,5
2202.06614v1,Accessing Polarized Fragmentation Functions at the Unpolarized EIC and BELLE Experiments,hep-ph,5
2202.08286v1,DIS physics at the EIC and LHeC and connections to the future LHC and $ν$A programs,hep-ph,5
2202.10056v1,General Helicity Formalism for Two-hadron Production in $e^+e^-$ Collisions and the $Λ$ Polarizing Fragmentation Function,hep-ph,5
2202.11114v2,Twist-three cross-sections in deeply virtual Compton scattering,hep-ph,5
2202.11529v2,Some aspects of impact of the Electron Ion Collider on particle physics at the Energy Frontier,hep-ph,5
2202.11631v1,Production of $P_{c}$(4312) state in electron-proton collisions,hep-ph,5
2202.13970v1,EIC Detector Overview,physics.ins-det,5
2203.01510v2,Probing the dark photon via polarized DIS scattering at the HERA and EIC,hep-ph,5
2203.03299v1,Gluon TMDs and inelastic $J/ψ$ leptoproduction at the EIC,hep-ph,5
2203.04530v2,Design of Detectors at the Electron Ion Collider with Artificial Intelligence,physics.ins-det,5
2203.05846v2,Signatures of gluon saturation from structure-function measurements,hep-ph,5
2203.06705v3,Heavy Neutral Lepton Searches at the Electron-Ion Collider: A Snowmass Whitepaper,hep-ph,5
2203.07626v2,Monolithic Active Pixel Sensors on CMOS technologies,physics.ins-det,5
2203.08129v3,"White Paper on Forward Physics, BFKL, Saturation Physics and Diffraction",hep-ph,5
2203.12289v1,"Selected topics in diffraction with protons and nuclei: past, present, and future",hep-ph,5
2203.13199v2,Snowmass 2021 White Paper: Electron Ion Collider for High Energy Physics,hep-ph,5
2203.13516v2,$\cos2φ_t$ azimuthal asymmetry in back-to-back $J/ψ$-jet production in $e~p\rightarrow e~J/ψ~Jet~ X$ at the EIC,hep-ph,5
2203.14919v2,Snowmass 2021 White Paper: Charged lepton flavor violation in the tau sector,hep-ph,5
2203.16947v1,Accessing pion GPDs through the Sullivan process: is it feasible?,hep-ph,5
2204.01527v3,TMD Evolution Study of the $\cos 2 φ$ Azimuthal Asymmetry in Unpolarized $J/ψ$ Production at EIC,hep-ph,5
2204.07557v2,Neutral-Current Electroweak Physics and SMEFT Studies at the EIC,hep-ph,5
2204.08645v1,Artificial Intelligence for Imaging Cherenkov Detectors at the EIC,physics.ins-det,5
2204.09982v1,Impact of heavy quark and quarkonium data on nuclear gluon PDFs,hep-ph,5
2205.04570v1,Unveiling Nucleon 3D Chiral-Odd Structure with Jet Axes,hep-ph,5
2205.05685v3,Search for baryon junctions in photonuclear processes and isobar collisions at RHIC,hep-ph,5
2205.08060v2,Semi-inclusive Diffractive Deep Inelastic Scattering at Small-$x$,hep-ph,5
2205.08607v1,Scientific Computing Plan for the ECCE Detector at the Electron Ion Collider,physics.ins-det,5
2205.09185v2,AI-assisted Optimization of the ECCE Tracking System at the Electron Ion Collider,physics.ins-det,5
2206.06547v3,Exclusive $π^0$ production at EIC of China within handbag approach,hep-ph,5
2206.11624v1,Proceedings of the Low-$x$ 2021 International Workshop,hep-ph,5
2207.02478v2,Exploring gluon tomography with polarization dependent diffractive J/$ψ$ production,hep-ph,5
2207.03606v2,One-Loop Corrections to Dihadron Production in DIS at Small $x$,hep-ph,5
2207.04378v1,High $Q^2$ electron-proton elastic scattering at the future Electron-Ion Collider,nucl-ex,5
2207.05726v2,Exclusive emissions of polarized $ρ$ mesons at the EIC and the proton content at low $x$,hep-ph,5
2207.06999v3,Breakup corrections to the ${}^3$He beam polarization measurements at the future BNL Electron Ion Collider,hep-ph,5
2207.09420v2,Feasibility study for precisely measuring the EIC ${}^3$He beam polarization with the Polarized Atomic Hydrogen Gas Jet Target polarimeter at RHIC,hep-ph,5
2207.10261v1,Search for $e\toτ$ Charged Lepton Flavor Violation at the EIC with the ECCE Detector,hep-ph,5
2207.10356v1,Exclusive J/$ψ$ Detection and Physics with ECCE,nucl-ex,5
2207.10632v2,Open Heavy Flavor Studies for the ECCE Detector at the Electron Ion Collider,physics.ins-det,5
2207.14171v1,Photoproduction of C-even quarkonia at EIC and EicC,hep-ph,5
2208.02639v2,Semi-inclusive electroproduction of hidden-charm and double-charm hadronic molecules,hep-ph,5
2208.05472v2,A high-granularity calorimeter insert based on SiPM-on-tile technology at the future Electron-Ion Collider,physics.ins-det,5
2208.12368v1,RF Accelerator Technology R&D: Report of AF7-rf Topical Group to Snowmass 2021,physics.acc-ph,5
2208.12693v2,Deeply virtual Compton scattering in the tensor-pomeron approach,hep-ph,5
2208.14575v2,"Detector Requirements and Simulation Results for the EIC Exclusive, Diffractive and Tagging Physics Program using the ECCE Detector Concept",physics.ins-det,5
2209.00496v1,CORE -- a COmpact detectoR for the EIC,physics.ins-det,5
2209.02580v2,Design of the ECCE Detector for the Electron Ion Collider,physics.ins-det,5
2209.11211v2,A Better Angle on Hadron Transverse Momentum Distributions at the EIC,hep-ph,5
2209.14489v2,Reconstruction of event kinematics in semi-inclusive deep-inelastic scattering using the hadronic final state and Machine Learning,hep-ph,5
2209.14493v1,Study of transversity GPDs from pseudoscalar mesons production at EIC of China,hep-ph,5
2210.04879v2,Forward silicon tracking detector developments for the future Electron-Ion Collider,physics.ins-det,5
2210.06450v2,Machine learning-based jet and event classification at the Electron-Ion Collider with applications to hadron structure and spin physics,hep-ph,5
2210.08609v2,Probing gluon TMDs with reconstructed and tagged heavy flavor hadron pairs at EIC,hep-ph,5
2210.09287v1,Heavy Neutral Leptons at the Electron-Ion Collider,hep-ph,5
2210.17226v2,Higher twists effects in DIS on nuclei at the EIC and LHeC: A phenomenological analysis,hep-ph,5
2211.01647v4,Harmonics of Parton Saturation in Lepton-Jet Correlations at the EIC,hep-ph,5
2211.02785v1,The Electron-Ion Collider -- A U.S. facility for the European community to explore the mysteries of the building blocks of matter,hep-ph,5
2211.05774v2,NLO computation of diffractive di-hadron production in a saturation framework,hep-ph,5
2211.08709v1,Azimuthal asymmetries in $J/ψ$-photon production at the EIC,hep-ph,5
2211.09698v2,First survey of centimeter-scale AC-LGAD strip sensors with a 120 GeV proton beam,physics.ins-det,5
2211.15746v3,Precision Studies of QCD in the Low Energy Domain of the EIC,nucl-ex,5
2212.00655v1,Accessing chiral-even quark generalised parton distributions in the exclusive photoproduction of a $ γπ^{\pm} $ pair with large invariant mass in both fixed-target and collider experiments,hep-ph,5
2212.01034v2,Accessing GPDs through the exclusive photoproduction of a photon-meson pair with a large invariant mass,hep-ph,5
2212.02432v1,Neutrino-tagged jets at the Electron-Ion Collider,hep-ph,5
2212.05541v1,A Compact TPC for the sPHENIX Experiment,physics.ins-det,5
2212.06625v1,NNLO jet production in neutral and charged current polarized deep inelastic scattering,hep-ph,5
2212.07688v2,Pion and photon beam initiated backward charmonium or lepton pair production,hep-ph,5
2212.08628v1,On the possibility of measuring the polarization of a ${}^3\rm{He}$ beam at EIC by the HJET polarimeter,hep-ph,5
2301.02304v1,Transverse spin asymmetries at the EIC as a probe of anomalous electric and magnetic dipole moments,hep-ph,5
2301.05618v1,Role of rapidity choice for the impact-parameter dependent Balitsky-Kovchegov equation,hep-ph,5
2301.07980v3,Probing gluon GTMDs through exclusive coherent diffractive processes,hep-ph,5
2301.08334v2,Simulation studies related to the particle identification by the forward and backward RICH detectors at Electron Ion Collider,physics.ins-det,5
2301.11987v1,$J/ψ$ polarization in large-$P_T$ semi-inclusive deep-inelastic scattering at the EIC,hep-ph,5
2302.00605v1,The RHIC Cold QCD Program,nucl-ex,5
2302.01447v1,Silicon detector R$\&$D for the future Electron-Ion Collider,physics.ins-det,5
2302.02329v1,Probing the jet transport coefficient of cold nuclear matter in electron-ion collisions,nucl-th,5
2302.03646v2,"Studies of time resolution, light yield, and crosstalk using SiPM-on-tile calorimetry for the future Electron-Ion Collider",physics.ins-det,5
2302.07861v1,Exclusive meets inclusive at small Bjorken-$x_B$: how to relate exclusive measurements to PDFs based on evolution equations,hep-ph,5
2302.12026v1,Probing chiral-even and chiral-odd leading twist quark generalised parton distributions through the exclusive photoproduction of a $ γρ $ pair,hep-ph,5
2303.00677v2,Improved Analysis of the Breakup Corrections to the High Energy $^3$He Beam Polarization measurements with HJET,hep-ph,5
2303.02579v1,The Present and Future of QCD,hep-ph,5
2303.05182v2,Inclusive and diffractive dijet photoproduction at the Electron-Ion Collider in NLO QCD,hep-ph,5
2303.08143v1,Imaging Cold Nuclear Matter with Energy Correlators,hep-ph,5
2303.09015v1,The Sivers asymmetry in charged Kaon and $Λ$ hyperon produced SIDIS process at electron ion colliders,hep-ph,5
2303.10409v3,Optically Pumped Polarized $^3$He$^{++}$ Ion Source Development for RHIC/EIC,physics.ins-det,5
2303.10776v2,Separation of electrons from pions in GEM TRD using deep learning,physics.ins-det,5
2303.15670v1,Diffractive scattering at next-to-leading order in the dipole picture,hep-ph,5
2303.17532v2,Small-$x$ Quark and Gluon Helicity Contributions to the Proton Spin Puzzle,hep-ph,5
2304.01810v1,The Tensor Pomeron and Low-x Deeply Virtual Compton Scattering,hep-ph,5
2304.04604v3,Probing Gluons at the Spin Physics Detector,hep-ex,5
2304.05784v1,"Accessing the gluon GTMD $\boldsymbol{F_{1,4}}$ in exclusive $\boldsymbol{π^0}$ production in $\boldsymbol{ep}$ collisions",hep-ph,5
2304.14970v1,Generalized Parton Distributions from Lattice QCD,hep-lat,5
2305.02079v2,Pixel-based tracking detectors for a Low Q2 Tagger at EIC -- status report,physics.ins-det,5
2305.04274v1,Double DVCS as a window to the complete mapping of GPDs,hep-ph,5
2305.06775v1,Large-Aperture High-Field NB3SN Magnets for the 2nd EIC Interaction Region*,physics.acc-ph,5
2305.13099v2,Breakup corrections to spin asymmetries in the $^3$He beam polarization measurements with the Polarized Atomic Hydrogen Gas Jet Target,hep-ph,5
2305.14572v1,The case for an EIC Theory Alliance: Theoretical Challenges of the EIC,hep-ph,5
2305.15461v2,Transverse Momentum Distributions of Heavy Hadrons and Polarized Heavy Quarks,hep-ph,5
2305.15593v1,Latest vertex and tracking detector developments for the future Electron-Ion Collider,physics.ins-det,5
2305.15880v2,Predicting the Exclusive Diffractive Electron-Ion Cross Section at small $x$ with Machine Learning in Sar$t$re,hep-ph,5
2306.00097v1,Complete Formalism of Cross Sections and Asymmetries for Longitudinally and Transversely Polarized Leptons and Hadrons in Deep Inelastic Scattering,hep-ph,5
2306.00754v1,Exclusive $η_c$ production by $γ^{*} γ$ interactions in electron-ion collisions,hep-ph,5
2306.02357v1,Deeply Virtual Compton Scattering at Future Electron-Ion Colliders,hep-ph,5
2306.05525v1,Exploration of hadronization through heavy flavor production at the future Electron-Ion Collider,hep-ph,5
2306.05564v1,SMEFT probes in future precision DIS experiments,hep-ph,5
2306.09813v1,Leading $Λ$ production in future electron-proton colliders,hep-ph,5
2306.14463v2,Azimuthal asymmetries in $D$-meson and jet production at the EIC,hep-ph,5
2306.17513v1,Searching for saturation in forward dijet production at the LHC,hep-ph,5
2307.00102v2,Displaced Signals of Hidden Vectors at the Electron-Ion Collider,hep-ph,5
2307.01183v2,Extraction of the strong coupling with HERA and EIC inclusive data,hep-ph,5
2307.02359v1,Transverse $Λ$ polarization in $e^+e^-$ annihilations and in SIDIS processes at the EIC within TMD factorization,hep-ph,5
2307.04185v1,Parton shower algorithm with saturation effect,hep-ph,5
2307.05967v1,"Towards an integrated determination of proton, deuteron and nuclear PDFs",hep-ph,5
2307.08593v1,Artificial Intelligence for the Electron Ion Collider (AI4EIC),physics.acc-ph,5
2307.09459v1,"SMEFT analysis with LHeC, FCC-eh, and EIC DIS pseudodata",hep-ph,5
2307.12531v1,A Few-Degree Calorimeter for the future Electron-Ion Collider,physics.ins-det,5
2307.16245v2,Bremsstrahlung Cross Section with Polarized Beams for Luminosity Determination at the EIC,hep-ph,5
2307.16486v1,Rapidity gap distribution of diffractive small-$x_{I\hspace{-0.3em}P}$ events at HERA and at the EIC,hep-ph,5
2308.00028v1,A Formalism for Extracting Track Functions from Jet Measurements,hep-ph,5
2308.03393v1,Probing the high-energy dynamics of QCD: selected theoretical and phenomenological studies,hep-ph,5
2308.04644v1,Gravitational form factors of the proton from near-threshold vector meson photoproduction,hep-ph,5
2308.07091v1,Coherently diffractive dissociation in electron-hadron collisions: from HERA to the future EIC,hep-ph,5
2308.07461v1,Global analysis of polarized DIS & SIDIS data with improved small-$x$ helicity evolution,hep-ph,5
2308.10478v1,Modeling Backward-Angle ($u$-channel) Virtual Compton Scattering at an Electron-Ion Collider,hep-ph,5
2309.00818v1,Beam Test of the First Prototype of SiPM-on-Tile Calorimeter Insert for the Electron-Ion Collider Using 4 GeV Positrons at Jefferson Laboratory,physics.ins-det,5
2309.02910v1,Solutions to the Balitsky-Kovchegov equation including the dipole orientation,hep-ph,5
2309.06561v2,Pilot bunch and co-magnetometry of polarized particles stored in a ring,physics.ins-det,5
2309.06638v1,Generalized threshold of longitudinal multi-bunch instability in synchrotrons,physics.acc-ph,5
2309.09748v1,Exclusive photoproduction of $D$-meson pairs with large invariant mass,hep-ph,5
2309.16056v1,Optimization of Magnetized Electron Cooling with JSPEC,physics.acc-ph,5
2310.04123v1,Probing the hidden-bottom pentaquark resonances in photonuclear bottomonium production near threshold: differential observables,hep-ph,5
2310.04442v1,The Optimal use of Segmentation for Sampling Calorimeters,physics.ins-det,5
2310.08827v1,Probing axion-like particles at the Electron-Ion Collider,hep-ph,5
2310.11066v1,Diffractive single hadron production in a saturation framework at the NLO,hep-ph,5
2310.16308v1,Diffusion model approach to simulating electron-proton scattering events,hep-ph,5
2310.19358v2,Extraction of information on transversity GPDs from $π^0$ and $η$ production on EIC of China,hep-ph,5
2310.19916v1,Spectator-model studies for spin-dependent gluon TMD PDFs at the LHC and EIC,hep-ph,5
2311.00383v1,Diffractive single and di-hadron production at the NLO in a saturation framework,hep-ph,5
2311.00672v1,Polarized fragmenting jet functions in Inclusive and Exclusive Jet Production,hep-ph,5
2311.08292v1,Photoproduction of fully-charmed tetraquark at electron-ion colliders,hep-ph,5
2311.10491v1,Inferring the initial condition for the Balitsky-Kovchegov equation,hep-ph,5
